mapblklot,analysis_neighborhood,FZP Planning Code
3729032,South of Market,RED-MX
3726152,South of Market,NCT-SOMA
7050032,Oceanview/Merced/Ingleside,RH-1
5355001,Bayview Hunters Point,RH-1
3767003,Financial District/South Beach,RH DTR
5335A117,Bayview Hunters Point,RH-1
5672017,Bernal Heights,RH-2
5404037,Bayview Hunters Point,RH-1
7034018,Oceanview/Merced/Ingleside,RH-1
0055016,North Beach,C-2
6018029,Excelsior,RH-1
6342004,Excelsior,RH-1
0156032A,Nob Hill,RH-3
6780020C,Outer Mission,RH-1
5698015,Bernal Heights,RH-1
5072015,Bayview Hunters Point,RH-1
7333B001,Lakeshore,PM-R
5862A022,Portola,RH-1(D)
0103041,North Beach,RM-2
0242021,Chinatown,CRNC
5402045,Bayview Hunters Point,NC-1
0210031,Chinatown,CRNC
4220029,Potrero Hill,RH-2
6997020,Oceanview/Merced/Ingleside,RH-1
6178021,Visitacion Valley,RH-1
4259048,Potrero Hill,RH-3
3641083,Mission,RH-2
4160036,Potrero Hill,RH-2
5666034,Bernal Heights,NCD-CORTLAND AVENUE
6177016,Visitacion Valley,RH-1
6240014,Visitacion Valley,RH-1
3594124,Mission,RH-3
0793038,Hayes Valley,NCT-HAYES
4059001C,Potrero Hill,UMU
3570030,Mission,NCT-MISSION
6421016,Excelsior,RH-1(D)
7003013,Oceanview/Merced/Ingleside,RH-1
6053038,Portola,RH-1
5680006,Bernal Heights,RH-1
6200063,Visitacion Valley,RH-1
4624438,Bayview Hunters Point,RM-1
3210005,Outer Mission,RH-1
6073002A,Excelsior,RH-1
6273017,Excelsior,RH-2
4210040,Mission,RH-2
5325018,Bayview Hunters Point,RH-1
6346007B,Excelsior,NCD-EXCELSIOR
5892033,Excelsior,RH-1
6481018A,Excelsior,RH-1
0306002,Tenderloin,C-3-G
0145037,North Beach,RM-1
7125012,Oceanview/Merced/Ingleside,RH-1
7116028,Oceanview/Merced/Ingleside,RH-1
5353008A,Bayview Hunters Point,RH-1
5542036,Bernal Heights,RH-1
7030042,Outer Mission,NCD-EXCELSIOR
0809061,Hayes Valley,NCT-HAYES
0836008,Hayes Valley,C-3-G
6324012,Visitacion Valley,RH-1
3754027,South of Market,MUG
5900A012,Portola,RH-1
4940006,Bayview Hunters Point,RH-1
5659012,Bernal Heights,RH-1
6128016,Portola,RH-1
6396043,Excelsior,RH-1
4067020,Potrero Hill,RH-2
6237015,Visitacion Valley,RH-1
5977020,Portola,RH-1
6305012,Visitacion Valley,RH-1
6594010,Noe Valley,RH-2
6635024,Bernal Heights,RH-3
6046033,Portola,RH-1
7005022,Oceanview/Merced/Ingleside,RH-1
5339004B,Bayview Hunters Point,RH-2
0309009,Financial District/South Beach,C-3-R
5071036,Bayview Hunters Point,RH-1
6024022,Excelsior,RH-1
3953004,Mission Bay,UMU
5079011,Bayview Hunters Point,RH-1
4024009,Mission,RH-2
6082027,Excelsior,RH-2
7096A011,Outer Mission,RH-1
4153018,Mission,RH-2
6524032,Mission,RH-2
5946042,Excelsior,RH-1
7103025A,Oceanview/Merced/Ingleside,RH-1
5335ACOMN,Bayview Hunters Point,RH-1
3577016,Mission,RTO-M
5082013,Bayview Hunters Point,RH-1
3596041,Mission,RTO-M
6072011,Excelsior,RH-1
3211005F,Outer Mission,RH-1
5893018,Excelsior,RH-1
6038020,Portola,RH-1
6303023,Visitacion Valley,RH-1
0266009,Financial District/South Beach,C-3-O
3144B026,Outer Mission,RH-1
7156076,Outer Mission,RH-1
6248035,Visitacion Valley,RH-1
5837008,Bernal Heights,RH-1(D)
3640091,Mission,RH-2
3776044,South of Market,CMUO
6780037,Outer Mission,RH-1
3202013,Outer Mission,RH-1
5616060,Bernal Heights,RH-2
5342001B,Bayview Hunters Point,RH-2
7117041,Oceanview/Merced/Ingleside,RH-1
7098001D,Outer Mission,NCD-EXCELSIOR
4044003,Potrero Hill,UMU
6120016,Portola,RH-1
5923010A,Portola,RH-1
6691007,Bernal Heights,NC-2
4809004A,Bayview Hunters Point,RH-1
5514029,Bernal Heights,RH-2
6350005A,Excelsior,RH-1
4943030,Bayview Hunters Point,RH-1
4013001,Mission,RH-2
6017026,Excelsior,RH-1
5296032,Bayview Hunters Point,RH-2
7036009,Oceanview/Merced/Ingleside,RH-1
7090028,Oceanview/Merced/Ingleside,RH-1
4031014,Potrero Hill,RH-2
5321048,Bayview Hunters Point,RH-2
7094033,Oceanview/Merced/Ingleside,RH-1
5653031,Bernal Heights,RH-1
5015019,Bayview Hunters Point,RH-1
4161074,Potrero Hill,RH-2
5613063,Bernal Heights,RH-1
3548042,Mission,NCT-MISSION
3633024,Mission,RH-3
5937033,Excelsior,RH-1
4971022,Bayview Hunters Point,RH-1
6249021,Visitacion Valley,NC-3
6473020,Excelsior,RH-1
6078038,Excelsior,RH-1
6351007C,Excelsior,RH-1
7097030,Outer Mission,RH-1
5970016,Portola,RH-1
7174018,Outer Mission,RH-1
6325001B,Visitacion Valley,RH-1
6495041,Excelsior,RH-1
VACSTHES2,Bayview Hunters Point,NC-S
4232019,Potrero Hill,PPS-MU
5674012A,Bernal Heights,RH-2
6089024,Excelsior,RH-1
6123011,Portola,RH-1
0274018,Nob Hill,RM-4
7086002,Oceanview/Merced/Ingleside,RH-1
5712042,Bernal Heights,RH-2
5658012,Bernal Heights,RH-1
6421022,Excelsior,RH-1(D)
5670016,Bernal Heights,RH-2
5743001,Bernal Heights,RH-1
5396001M,Bayview Hunters Point,RH-1
5744042,Bernal Heights,RH-2
6415018,Excelsior,RH-1
6530017,Mission,NCT-VALENCIA
0675043,Pacific Heights,RM-3
5428C020,Bayview Hunters Point,RH-1
0243026,Chinatown,RM-4
3756020,South of Market,RED-MX
6094015,Excelsior,RH-1
0320012,Tenderloin,RC-4
3726088,South of Market,RED
0314008,Financial District/South Beach,C-3-R
9900035,North Beach,M-1
5290048,Bayview Hunters Point,RH-2
6281035,Excelsior,RH-1
6458042,Excelsior,RH-1(D)
5712024,Bernal Heights,RH-2
6345026,Excelsior,RH-1
6468A003,Excelsior,RH-1
4149042,Mission,RH-3
3608090,Mission,RH-3
5947020,Excelsior,RH-1
5614052,Bernal Heights,RH-1
4937014,Bayview Hunters Point,RH-1
3594127,Mission,RM-1
6245039,Visitacion Valley,RH-2
5619035,Bernal Heights,RH-1
3588096,Mission,RTO-M
5613015,Bernal Heights,RH-1
3614001,Mission,RH-3
7046A012,Outer Mission,RH-1
6407001A,Excelsior,RH-1
0748034,Western Addition,RM-3
6086010A,Excelsior,RH-1
5709016,Bernal Heights,RH-2
5909007,Excelsior,RH-1
4711061,Bayview Hunters Point,RH-2
3152011,Outer Mission,RH-1
5615015,Bernal Heights,RH-2
5536001,Bernal Heights,RH-1
4035012,Potrero Hill,RH-2
6062019,Portola,RH-1
5337026C,Bayview Hunters Point,RH-1
3594034,Mission,RM-1
6038021,Portola,RH-1
5993017,Portola,RH-1
5987036,Portola,RH-1
6447007,Excelsior,RH-1
7044C024,Outer Mission,RH-1
3614060,Mission,RH-3
7103014,Oceanview/Merced/Ingleside,RH-1
3977020,Potrero Hill,MUR
6594011,Noe Valley,RH-2
6595017,Noe Valley,RH-2
4789001,Bayview Hunters Point,RH-2
3611003,Mission,NC-2
3636017A,Mission,RTO-M
5503008C,Bernal Heights,RH-2
4336007A,Mission,RH-2
5878003,Portola,RH-1
6256011,Visitacion Valley,RH-1
5948027,Excelsior,RH-1
4084022,Mission,RH-3
7076035,Oceanview/Merced/Ingleside,RH-1
0212016,Nob Hill,RM-3
5610A015,Bernal Heights,RH-2
7106029,Oceanview/Merced/Ingleside,RH-1
5327032,Bayview Hunters Point,RH-2
6238039,Visitacion Valley,RH-1
6490023,Excelsior,RH-1
0303014,Tenderloin,RC-4
5387001,Bayview Hunters Point,RH-1
5924008,Portola,RH-2
4758030,Bayview Hunters Point,RH-1
5342003,Bayview Hunters Point,RH-2
0665028,Western Addition,RH-3
5297005,Bayview Hunters Point,RH-2
5884022,Portola,RH-2
7106046A,Oceanview/Merced/Ingleside,RH-1
5417016,Bayview Hunters Point,RH-1
3553036,Mission,RTO-M
6480027,Excelsior,RH-1
6323008V,Visitacion Valley,RH-1
4993037,Bayview Hunters Point,RH-1
0327003,Financial District/South Beach,C-3-R
6954015,Outer Mission,RH-1
6076017,Excelsior,RH-1
7145043,Outer Mission,RH-1
5942029,Excelsior,RH-1
4711147,Bayview Hunters Point,RH-2
5858014,Portola,RH-1
7331079,Lakeshore,RM-1
7097043E,Outer Mission,RH-1
5426022,Bayview Hunters Point,RH-1
6085035,Excelsior,RH-2
5981004,Portola,NCD-SAN BRUNO AVENUE
7116047,Oceanview/Merced/Ingleside,RH-1
5540036,Bernal Heights,RH-1
5811013,Bernal Heights,RH-1
0215007,Nob Hill,RM-3
6044011,Portola,RH-1
4210038,Mission,RH-2
7331217,Lakeshore,RM-1
5980003,Portola,RH-2
5610A038,Bernal Heights,RH-2
0653016,Pacific Heights,RH-2
6240023,Visitacion Valley,RH-1
4969012,Bayview Hunters Point,RH-1
6491024,Excelsior,RH-1
6418002,Excelsior,RH-1
6750051,Outer Mission,RH-1
3749013,Financial District/South Beach,RH DTR
5986029,Portola,RH-1
7109031,Outer Mission,RH-1
5380021,Bayview Hunters Point,RH-1
6780009,Outer Mission,RH-1
6122019E,Portola,RH-1
7119034,Oceanview/Merced/Ingleside,RH-1
5948036,Excelsior,RH-1
5309007,Bayview Hunters Point,RH-1
6474014G,Excelsior,RH-1
4144008,Mission,RH-2
0321031,Tenderloin,RC-4
3726033,South of Market,MUG
0173004,Financial District/South Beach,C-2
6346001G,Excelsior,RH-1
5811025,Bernal Heights,RH-1
5670005,Bernal Heights,RH-2
0236017,Financial District/South Beach,C-3-O
5406030,Bayview Hunters Point,RH-1
7005031,Oceanview/Merced/Ingleside,RH-1
4009001A,Potrero Hill,RH-2
6527040,Mission,RTO-M
5926013,Portola,RH-2
5742028,Bernal Heights,RH-1
5503034,Bernal Heights,RH-2
7077003,Oceanview/Merced/Ingleside,RH-1
0052011,North Beach,NCD-NORTH BEACH
6493014B,Excelsior,RH-1
3616056,Mission,NCT-MISSION
3609031,Mission,NCT-VALENCIA
7121009,Oceanview/Merced/Ingleside,RH-1
5712011,Bernal Heights,RH-2
0740014,Tenderloin,RC-4
7064A009,Outer Mission,RH-1
7065014G,Outer Mission,RH-1
4790038,Bayview Hunters Point,RH-1
6167004,Visitacion Valley,RH-1
6998035,Oceanview/Merced/Ingleside,RH-1
4262015A,Mission,RH-2
7145076,Outer Mission,RH-2
7043009B,Outer Mission,RH-1
5707022,Bernal Heights,RH-1
5895028,Excelsior,RH-1
6325016,Visitacion Valley,RH-1
6357018,Visitacion Valley,RH-1
6276011,Excelsior,RH-1
6302015,Visitacion Valley,RH-1
6080006,Excelsior,RH-1
6348002,Excelsior,RH-1
3641025,Mission,RM-1
6037005,Portola,RH-1
7056013,Oceanview/Merced/Ingleside,RH-1
6114004C,Portola,RH-1
5381007,Bayview Hunters Point,RH-1
7007024,Oceanview/Merced/Ingleside,RH-1
7047066,Oceanview/Merced/Ingleside,RH-1
5965040,Excelsior,RH-1
7076013,Oceanview/Merced/Ingleside,RH-1
0054020,North Beach,RH-3
4943019,Bayview Hunters Point,RH-1
7015049,Oceanview/Merced/Ingleside,RH-1
6978025,Oceanview/Merced/Ingleside,RH-1
4002004,Potrero Hill,RH-2
6490050,Excelsior,RH-1
5729013,Bernal Heights,RH-1
0131007,North Beach,NCD-NORTH BEACH
5540021,Bernal Heights,RH-1
6752003,Outer Mission,RH-1
3726053,South of Market,RED
7086020A,Oceanview/Merced/Ingleside,RH-2
3607021,Mission,RH-2
4763021B,Bayview Hunters Point,RH-2
6170047,Portola,RH-1
7129001,Oceanview/Merced/Ingleside,RH-1
5335019,Bayview Hunters Point,RH-1
0775015,Western Addition,RM-1
5956034,Excelsior,RH-1
4081054,Mission,UMU
6042030,Portola,RH-1
4087007,Mission,RH-2
7002032,Oceanview/Merced/Ingleside,RH-1
0129015,Chinatown,RM-2
0323020,Tenderloin,RC-4
4116002,Potrero Hill,P70-MU
4973002,Bayview Hunters Point,RH-1
5646035,Bernal Heights,RH-1
5379032,Bayview Hunters Point,RH-1
4758035,Bayview Hunters Point,RH-1
6198020,Visitacion Valley,RH-1
6279030,Excelsior,RH-1
5331047,Bayview Hunters Point,RH-1
5660008,Bernal Heights,RH-1
4268033,Mission,RH-2
6258020,Visitacion Valley,RH-1
6520021,Mission,RH-3
6323008D,Visitacion Valley,RH-1
6491026,Excelsior,RH-1
5804022,Bernal Heights,RH-1(D)
4013033,Mission,RH-2
7092074,Oceanview/Merced/Ingleside,RH-1
3787022,South of Market,CMUO
4914029,Bayview Hunters Point,RH-1
5964010,Excelsior,RH-1
6395003C,Excelsior,RH-1
7147044,Oceanview/Merced/Ingleside,RH-1
5940006,Excelsior,RH-1
5083010,Bayview Hunters Point,RH-1
4224048,Potrero Hill,UMU
5542001,Bernal Heights,RH-1
5969009,Portola,RH-1
5355016,Bayview Hunters Point,RH-1
7031003D,Outer Mission,NCD-EXCELSIOR
6248019,Visitacion Valley,NCD-LELAND
5708032,Bernal Heights,RH-2
3640028,Mission,RH-2
6047001,Portola,RH-2
4991737,Bayview Hunters Point,C-2
4218002A,Potrero Hill,RH-2
0312004,Financial District/South Beach,C-3-R
4095091,Potrero Hill,RH-3
4282A009A,Potrero Hill,RH-2
3754066,South of Market,NCT-SOMA
0156001,Nob Hill,RM-2
5100007,Bayview Hunters Point,MUG
4991086,Bayview Hunters Point,RC-3
7061042,Oceanview/Merced/Ingleside,RH-1
3648007,Mission,RH-3
0347006,Tenderloin,RC-4
6990042,Oceanview/Merced/Ingleside,RH-1
6208007,Visitacion Valley,RH-1
5887036,Excelsior,RH-1
5534053,Bernal Heights,RH-1
5924024,Portola,NCD-SAN BRUNO AVENUE
6125004,Portola,RH-1
6073009B,Excelsior,RH-1
7034006,Oceanview/Merced/Ingleside,RH-1
5876022,Portola,RH-1
6528037,Mission,NCT-MISSION
0720038,Western Addition,RM-4
3154003,Outer Mission,RH-1
5905026,Excelsior,RH-1
6160026,Portola,RH-1
4273017,Mission,RH-2
5721073,Bernal Heights,RH-2
4788009,Bayview Hunters Point,RH-1
5054A071,Bayview Hunters Point,NC-S
6050028,Portola,RH-2
7100009,Outer Mission,RH-1
3578002,Mission,RM-2
0212042,Nob Hill,RM-3
0296013B,Nob Hill,C-3-R
6072011A,Excelsior,RH-1
6008035,Excelsior,RH-1
6174022,Visitacion Valley,RH-1
3553032,Mission,RTO-M
7039A003,Outer Mission,RH-1
6362003,Visitacion Valley,RH-1
7040A012,Outer Mission,RH-1
6188028,Visitacion Valley,RH-1
0303013A,Tenderloin,RC-4
6115014,Portola,RH-1
5426024,Bayview Hunters Point,RH-1
5534015,Bernal Heights,RH-1
3525089,South of Market,RED-MX
0143037,North Beach,RH-3
7147050,Oceanview/Merced/Ingleside,RH-1
6448017,Excelsior,RH-1
4064031,Potrero Hill,RH-2
6991019,Oceanview/Merced/Ingleside,RH-1
3574088,Mission,UMU
6173015,Visitacion Valley,RM-1
6022003B,Excelsior,RH-1
5910014,Excelsior,RH-1
6475007C,Excelsior,RH-1
4073010,Potrero Hill,RH-3
5891017,Excelsior,RH-1
0654013,Pacific Heights,NCD-UPPER FILLMORE
4142035,Mission,RH-2
6243025,Visitacion Valley,RH-1
6096007,Excelsior,RH-1
4809027,Bayview Hunters Point,RH-1
4087013,Mission,RH-2
1087014A,Lone Mountain/USF,RM-1
5968025,Excelsior,RH-1
4162105,Potrero Hill,RH-2
6992038,Oceanview/Merced/Ingleside,RH-1
3149008,Outer Mission,RH-1
4976017,Bayview Hunters Point,RH-1
5987037,Portola,RH-1
5859041,Portola,RH-1
4095097,Potrero Hill,RH-3
6235025,Visitacion Valley,RH-1
5617007,Bernal Heights,RH-2
5826004,Bernal Heights,RH-2
7137023,Oceanview/Merced/Ingleside,RH-1
3721122,Financial District/South Beach,C-3-O(SD)
7097043A,Outer Mission,RH-1
5886059,Excelsior,RH-1
4028010,Potrero Hill,RH-2
5345011,Bayview Hunters Point,RH-1
5426037,Bayview Hunters Point,RH-1
6192063,Visitacion Valley,RH-1
4085031,Mission,RH-2
6236024,Visitacion Valley,RH-1
4964020,Bayview Hunters Point,RH-1
3784071,South of Market,SALI
5501062,Bernal Heights,RH-2
6342018,Excelsior,RH-1
5517101,Bernal Heights,RH-2
6484022,Excelsior,RH-1(D)
7087031,Oceanview/Merced/Ingleside,RH-1
4939019,Bayview Hunters Point,RH-1
0304013,Tenderloin,RC-4
6114001A,Portola,RH-1
5254009,Bayview Hunters Point,RH-1
6082034,Excelsior,RH-2
7097027,Outer Mission,RH-1
3756030,South of Market,RED-MX
3597079,Mission,RTO-M
4158044,Potrero Hill,RH-2
3614033,Mission,RH-3
5887046,Excelsior,RH-1
4206061,Mission,RH-2
3985028,Potrero Hill,UMU
0150045,Nob Hill,RH-2
4037025,Potrero Hill,RH-2
3731060,South of Market,RED
0231023,Financial District/South Beach,C-3-O
6208049,Visitacion Valley,RH-1
5835055,Bernal Heights,RH-2
1426065,Inner Richmond,RM-1
5296030,Bayview Hunters Point,RH-1
5900005,Portola,RH-1
6799015,Outer Mission,RH-1
6396048,Excelsior,RH-1
7103020C,Oceanview/Merced/Ingleside,RH-1
6636004A,Noe Valley,RH-3
3519062,South of Market,RED
5992A028,Portola,RH-1
5413010,Bayview Hunters Point,RH-1
6635053,Bernal Heights,NCD-MISSION BERNAL
3729039,South of Market,RED-MX
5323008,Bayview Hunters Point,RH-1
4283B097,Potrero Hill,RH-1
6114006A,Portola,RH-1
7092019,Oceanview/Merced/Ingleside,RH-1
6519043,Mission,NCT-24TH-MISSION
3616015,Mission,NCT-VALENCIA
4162102,Potrero Hill,RH-2
3569040,Mission,NCT-VALENCIA
3705004,South of Market,C-3-R
6595015A,Noe Valley,RH-2
4991266,Bayview Hunters Point,RH-2
6234036,Visitacion Valley,RH-1
3206015,Outer Mission,RH-1
6524006,Mission,RH-2
3728058,South of Market,RED-MX
5671008,Bernal Heights,RH-2
6420008,Excelsior,RH-1
5669007,Bernal Heights,RH-1
7019048,Oceanview/Merced/Ingleside,RH-1
7010027,Oceanview/Merced/Ingleside,RH-1
5072037,Bayview Hunters Point,RH-1
6281022,Excelsior,RH-1
6486027,Excelsior,RH-1
5896041,Excelsior,RH-1
5977027,Portola,RH-1
5319040,Bayview Hunters Point,RH-2
3729057,South of Market,RCD
5080022,Bayview Hunters Point,RH-1
6356060,Visitacion Valley,RH-1
5895002A,Excelsior,RH-1
3613045,Mission,RH-3
5665025,Bernal Heights,RH-1
7108031D,Oceanview/Merced/Ingleside,RH-2
5504021,Bernal Heights,RH-2
6409014,Excelsior,RH-1
6779070,Outer Mission,RH-1
7017031,Oceanview/Merced/Ingleside,RH-1
4085015,Mission,RM-1
4787013C,Bayview Hunters Point,RH-2
6635045,Bernal Heights,NCD-MISSION BERNAL
6004065,Excelsior,RH-1
5895007,Excelsior,RH-1
0284007,Nob Hill,C-3-R
5321011,Bayview Hunters Point,RH-2
6448055,Excelsior,RH-1
0103033,North Beach,RM-2
6340035,Excelsior,RH-1
5517021D,Bernal Heights,RH-2
6422004,Excelsior,RH-1(D)
3996006,Potrero Hill,RH-2
0224031,Chinatown,RM-4
5324013B,Bayview Hunters Point,RH-1
5967021,Excelsior,RH-1
5959027,Excelsior,RH-1
5995027,Portola,RH-1
3548008,Mission,UMU
7100005,Outer Mission,RH-1
0754006,Western Addition,RM-3
7056030,Oceanview/Merced/Ingleside,RH-1
5291001,Bayview Hunters Point,RH-1
6120005,Portola,RH-1
7019045,Oceanview/Merced/Ingleside,RH-1
5625019,Bernal Heights,RH-1
5534033,Bernal Heights,RH-1
5635011,Bernal Heights,RH-1
7381075,Lakeshore,RH-1
5544027,Bernal Heights,RH-1
5841006,Bernal Heights,RH-1(D)
4084007,Mission,RH-2
3587042,Mission,RM-2
0660073,Pacific Heights,RH-2
