route_id,agency_id,route_short_name,route_long_name,route_url,route_desc,route_type,route_color,route_text_color,route_sort_order
KBUS,SFMTA,KBUS,INGLESIDE BUS,http://www.sfmta.com/KBUS,Weekdays 5am-6am Weekends 5am-8am,3,437C93 ,FFFFFF,
L,SFMTA,L,TARAVAL,http://www.sfmta.com/L,,0,942D83 ,FFFFFF,
LOWL,SFMTA,LOWL,OWL TARAVAL,http://www.sfmta.com/LOWL,10pm-5am nightly,3,666666 ,FFFFFF,
M,SFMTA,M,OCEAN VIEW,http://www.sfmta.com/M,Weekdays 6am-12 midnight Weekends 8am-12 midnight,0,008547 ,FFFFFF,
N,SFMTA,N,JUDAH,http://www.sfmta.com/N,Weekdays 6am-12 midnight Weekends 8am-12 midnight,0,005B95 ,FFFFFF,
NBUS,SFMTA,NBUS,JUDAH BUS,http://www.sfmta.com/NBUS,Weekdays 5am-6am Weekends 5am-8am,3,005B95 ,FFFFFF,
NOWL,SFMTA,NOWL,OWL JUDAH,http://www.sfmta.com/NOWL,12 midnight-5am nightly,3,666666 ,FFFFFF,
PH,SFMTA,PH,POWELL-HYDE CABLE CAR,http://www.sfmta.com/PH,7 am-10 pm daily,5,B49A36 ,000000,
PM,SFMTA,PM,POWELL-MASON CABLE CAR,http://www.sfmta.com/PM,7 am-10 pm daily,5,B49A36 ,000000,
T,SFMTA,T,THIRD,http://www.sfmta.com/T,Weekends 8 am-11:30 pm,0,BF2B45 ,FFFFFF,
TBUS,SFMTA,TBUS,THIRD BUS,http://www.sfmta.com/TBUS,Weekdays 5am-6am Weekends 5am-8am,3,BF2B45 ,FFFFFF,
